"구분별(1)",2023,2023,2023,2023,2023,2023
"구분별(1)",아황산가스(SO2) (ppm),일산화탄소(CO) (ppm),이산화질소(NO2) (ppm),미세먼지(PM-10) (㎍/㎥),초미세먼지(PM-2.5) (㎍/㎥),오존(O3) (ppm)
"평 균",0.0028,0.45,0.0204,38,20,0.031
"종로구",0.0031,0.49,0.0205,37,20,0.0324
"중구",0.0029,0.44,0.0218,32,19,0.0321
"용산구",0.0031,0.48,0.0223,40,21,0.0313
"성동구",0.0027,0.39,0.0209,38,19,0.0305
"광진구",0.0026,0.46,0.0202,36,19,0.0296
"동대문구",0.0032,0.46,0.0206,39,20,0.0323
"중랑구",0.0024,0.4,0.0202,36,20,0.0304
"성북구",0.0027,0.5,0.022,39,19,0.0292
"강북구",0.0023,0.44,0.0144,38,19,0.0341
"도봉구",0.0026,0.5,0.0159,35,19,0.0343
"노원구",0.0027,0.46,0.0197,39,21,0.0304
"은평구",0.0026,0.48,0.0156,37,19,0.0302
"서대문구",0.0031,0.47,0.0161,35,18,0.0337
"마포구",0.0029,0.46,0.0224,35,20,0.0321
"양천구",0.0029,0.47,0.0219,40,21,0.0297
"강서구",0.003,0.48,0.0216,42,19,0.032
"구로구",0.0027,0.38,0.0172,40,19,0.0279
"금천구",0.003,0.45,0.0214,36,20,0.0301
"영등포구",0.0028,0.45,0.0234,36,19,0.0305
"동작구",0.0026,0.4,0.0209,38,21,0.0338
"관악구",0.0029,0.49,0.0228,42,20,0.0312
"서초구",0.0028,0.41,0.0213,41,19,0.0289
"강남구",0.0031,0.41,0.0227,37,19,0.0312
"송파구",0.0026,0.46,0.0241,40,20,0.0302
"강동구",0.0026,0.42,0.0193,39,20,0.0263
